Objective,Key_Result,DRI,Team,Current_Value,Target_Value,Status,Last_Updated,Update_Notes,Quarter
Expand Provider Network to 15K Active Therapists,Grow active provider base from 10K to 15K by end of Q1,Maria Chen,Provider Growth,13200,15000,On Track,2026-02-28,"Strong momentum in TX and FL markets. Added 840 providers in Feb. Recruitment campaigns performing 12% above target CPA. Pipeline looks healthy for March close.",Q1 2026
Expand Provider Network to 15K Active Therapists,Increase provider retention rate from 82% to 90%,Derek Williams,Provider Success,85,90,At Risk,2026-02-14,"Retention dipped in Jan due to reimbursement delays with Aetna. Working with insurance ops to resolve. Need to monitor closely.",Q1 2026
Expand Provider Network to 15K Active Therapists,Launch in 3 new states (CO; NV; OR) by end of Q1,Sarah Okafor,Market Expansion,2,3,On Track,2026-02-27,"CO and NV fully live. OR credentialing in progress -- 78% of initial provider cohort approved. On track for mid-March launch.",Q1 2026
Expand Provider Network to 15K Active Therapists,Reduce average provider onboarding time from 21 days to 14 days,James Patel,Provider Ops,17,14,Behind,2026-02-07,,Q1 2026
Increase Patient Engagement and Retention,Increase monthly active patients from 85K to 110K,Lisa Fernandez,Growth Marketing,98000,110000,On Track,2026-02-26,"Paid channels driving strong acquisition. Organic up 18% MoM from SEO investments. Feb was best month ever for new patient signups (14.2K).",Q1 2026
Increase Patient Engagement and Retention,Improve patient 90-day retention from 60% to 72%,Andre Jackson,Patient Experience,64,72,At Risk,2026-02-28,"Retention improved 4pts since Q4 but pace is slowing. Biggest drop-off still at sessions 3-4. Testing new re-engagement nudges and therapist matching improvements.",Q1 2026
Increase Patient Engagement and Retention,Achieve patient NPS of 72+,Andre Jackson,Patient Experience,68,72,On Track,2026-02-21,"NPS trending up. Major driver is reduced wait times for first appointment (down to 3.2 days avg). Detractors mostly cite billing confusion.",Q1 2026
Increase Patient Engagement and Retention,Launch self-serve appointment rescheduling for 100% of patients,Kevin Cho,Product,80,100,On Track,2026-02-25,"Rolled out to 80% of patient base. Remaining 20% on legacy booking system -- migration scheduled for early March. No major bugs in rollout so far.",Q1 2026
Deepen Insurance Partnerships and Revenue,Add 4 new national insurance partners (total pipeline: Cigna; Humana; Kaiser; Molina),Rob Sadow,Strategy/Ops,1,4,Behind,2026-02-20,"Cigna contract signed and integration in flight. Humana LOI expected mid-March. Kaiser conversations stalled -- need exec escalation. Molina deprioritized due to low volume potential. Exploring Centene as replacement.",Q1 2026
Deepen Insurance Partnerships and Revenue,Increase gross revenue to $28M quarterly run-rate,Nina Kowalski,Finance,24500000,28000000,At Risk,2026-02-28,"$24.5M through Feb annualized. Gap driven by slower-than-expected Cigna ramp and lower session volume in Jan (holiday effect). March pipeline looks strong but we need a big month to close the gap.",Q1 2026
Deepen Insurance Partnerships and Revenue,Reduce claim denial rate from 8% to 4%,Priya Mehta,Insurance Ops,5.8,4,On Track,2026-02-26,"Down from 8% to 5.8%. New pre-submission validation catching 60% of common errors. Biggest remaining issue is incorrect CPT code selection by providers -- training module launching March 3.",Q1 2026
Deepen Insurance Partnerships and Revenue,Decrease average claim processing time from 35 days to 21 days,Priya Mehta,Insurance Ops,28,21,On Track,2026-02-19,"Reduced to 28 days avg. Automation of ERA posting saving ~4 days. UHC and BCBS now under 21 days. Aetna still lagging at 38 days due to manual review requirements on their end.",Q1 2026
Improve Platform Reliability and Developer Velocity,Achieve 99.95% uptime for patient-facing services,Tom Nguyen,Engineering - Infra,99.91,99.95,At Risk,2026-02-28,"Two incidents in Feb: 45-min booking outage on 2/12 (DB failover issue) and 20-min payment processing delay on 2/22 (third-party gateway). 99.91% MTD. Implementing circuit breakers and additional redundancy.",Q1 2026
Improve Platform Reliability and Developer Velocity,Reduce mean time to recovery (MTTR) from 45 min to 20 min,Tom Nguyen,Engineering - Infra,32,20,On Track,2026-02-15,,Q1 2026
Improve Platform Reliability and Developer Velocity,Increase deployment frequency from 2x/week to daily,Rachel Kim,Engineering - Platform,3,5,On Track,2026-02-24,"Averaging 3 deploys/week now. CI/CD pipeline improvements landed. Feature flag system fully operational. Main bottleneck is QA capacity for compliance-sensitive changes.",Q1 2026
Improve Platform Reliability and Developer Velocity,Reduce P0/P1 bug backlog from 34 to under 10,Rachel Kim,Engineering - Platform,18,10,On Track,2026-02-27,"Down from 34 to 18. Dedicated bug bash weeks in Jan and Feb cleared the worst offenders. Remaining P0s are mostly edge cases in insurance eligibility verification.",Q1 2026
Scale Data and Analytics Capabilities,Launch executive OKR dashboard with real-time data,Omar Hassan,Data Engineering,0,1,Behind,2026-01-31,"Design approved. Data model 70% complete. Blocked on finalizing metric definitions with finance and ops. Targeting mid-March for v1 but at risk of slipping to April.",Q1 2026
Scale Data and Analytics Capabilities,Instrument top 10 patient journey events for funnel analytics,Omar Hassan,Data Engineering,7,10,On Track,2026-02-22,"7 of 10 events instrumented and flowing. Remaining: insurance verification callback; therapist match acceptance; and post-session survey completion. ETA end of Feb.",Q1 2026
Scale Data and Analytics Capabilities,Deliver monthly cohort retention analysis to leadership,Diana Reeves,Analytics,2,3,On Track,2026-02-28,"Jan and Feb reports delivered on time. Added new segmentation by insurance type and referral source. March report will include first cut of therapist-matching quality correlation.",Q1 2026
Scale Data and Analytics Capabilities,Reduce data pipeline latency from 24hr to under 4hr for key metrics,Omar Hassan,Data Engineering,12,4,Behind,2026-02-10,"Migrated 3 of 8 core pipelines to streaming. Remaining pipelines have complex dependencies on batch insurance data feeds. Need to negotiate real-time API access with payer partners.",Q1 2026
